Section,RegisterNumber,Bits,Property,Description,ValueMeaning,Value
6,0x1000,[0],STANDBY,"See Section 6, used as part of startup sequence. ","Change from Sensor Standby to Software Standby by changing register 0x1000 (default value 0x01) to value 0x00 
Software ",1
,0x1001,[0],STREAM,"See Section 6, is used to start video streaming from the sensor",Enter Video Streaming by changing register 0x1001 (value 0x00) to value 0x01,0
7.2,0x1010,[0],Reserved_1010,,,1
,0x1010,[1],DATA_LANE_CONFIG,Sets the number of MIPI lanes used during readout. ,"0: 2 data lanes, 1: 4 data lanes",1
,0x100D,[7:0],SPEED0,,,128
,0x100C,[7:0],SPEED1,,,12
7.3,0x1C40,[0],CLK_OFF,By default the clock enters a low power state (LPS) between the different data frames (CLK_OFF=1). It is possible to enable to clock continuously (stay in HS mode during frame blanking) via parameter MIPI_CLK_OFF=0 for compatibility with some microcontrollers.,"1: Clock enters low power state between frames, 0: Clock is on at all times. ",1
,0x2020,[0],MODE,It's mandatory to change the operating mode during Software Standby (Zone #3) as described in section 7.2,,0
,0x2100,[0],SW_TRIG,When internal triggers are disabled (INT_TRIG = 0) the self-clearing SW_TRIG bit (= software trigger) will be evaluated,,0
,0x2100,[3],INT_TRIG,In continuous mode the sensor triggers automatically after each frame (with INT_TRIG = 1),,1
7.4,0x0828,[2:0],OUTPUT_MODE,"Selects the output data from the time-of-flight image sensor. ToF image sensors normally have 2 Taps, TapA and TapB. ","0: Mode A-B 12bit signed, 1: A+B 12bit unsigned, 2: Raw A, 3: Raw B, 4: Raw A & B",0
7.5,0x0800,[5:0],HMAX_HI,,,2
,0x0801,[7:0],HMAX_LOW,The HMAX parameter represents the number of internal clock pulses needed for one data row transmission,,182
7.6,0x0102,[0],PARAM_HOLD,"Each frame consists of multiple configuration parameters, controlled via a slow I2C interface. To avoid frame to frame data corruption when changing more than one parameter (like to modulation frequency or integration time) the user can enable shadow registers that temporarily store the updated values and apply all changes at once when the PARAM_HOLD bit is released.","0: disable shadow registers, 1: enable shadow registers",0
7.7,0x0824,[7:0],USER_ID,A user programmable register who's will be read out in the first metadata line.,,0
7.8,0x21BE,[1:0],DIVSELPRE,,"0: [100-75],[50-38],[20-91]MHz, 1: [74-51],[37-21],[18-10]MHz, 2: [9-5]MHz, 3: [4]MHz",0
,0x21BF,[1:0],DIVSEL,,"0: [100-51]MHz, 1: [50-21]MHz, 2: [20-4]MHz",0
,0x1048,[2:0],FMOD_HI,"FMOD value is calculated as 2^(DIVSELPRE+DIVSEL) * Modulation Frequency 
 ",,0
,0x1049,[7:0],FMOD_LOW,,,80
,0x104B,[7:0],FVCO_FMOD,,"0: 900 <= FMOD*8 <= 1200, 2: 500 <= FMOD*8 <= 900",2
7.9,0x21D4,[7:0],FRAME_STARTUP_HI,The frame start up time is the time between a TRIGGER pulse and the start of the first phase acquisition. ,,0
,0x21D5,[7:0],FRAME_STARTUP_LOW,,,0
7.1,0x2108,[7:0],FRAME_TIME3,The minimum length of a frame is dominated by the individual phase configurations. Programming a FRAME_TIME longer than the minimum time needed to capture all phases adds an additional wait time. ,Frame_time_us*120/HMAX,0
,0x2109,[7:0],FRAME_TIME2,,,0
,0x210A,[7:0],FRAME_TIME1,,,0
,0x210B,[7:0],FRAME_TIME0,,,0
7.11,0x21E8,[3:0],PHASE_COUNT,It is possible to define up to eight raw phases in a single frame for more complex acquisition schemes.,"1: Phase 1 enabled, 2: Phase 1-2 enabled, ... 8: Phase 1-8 enabled",4
7.12,0x21C0,[7:0],Px_PREHEAT,,,0
,0x21C2,[7:0],Px_PREMIX,,,0
,0x4015,[4:0],Px_PRETIME_HI,This is also PIXRST,,0
,0x4016,[7:0],Px_PRETIME_LOW,This is also PIXRST,,10
7.13,0x2120,[7:0],P0_INT3,Sets the integration time of raw frame 0,FLOOR(integration_time_us*120)/HMAX) * HMAX,0
,0x2121,[7:0],P0_INT2,,,1
,0x2122,[7:0],P0_INT1,,,212
,0x2123,[7:0],P0_INT0,,,192
,0x2124,[7:0],P1_INT3,Sets the integration time of raw frame 1,FLOOR(integration_time_us*120)/HMAX) * HMAX,0
,0x2125,[7:0],P1_INT2,,,1
,0x2126,[7:0],P1_INT1,,,212
,0x2127,[7:0],P1_INT0,,,192
,0x2128,[7:0],P2_INT3,Sets the integration time of raw frame 2,FLOOR(integration_time_us*120)/HMAX) * HMAX,0
,0x2129,[7:0],P2_INT2,,,1
,0x212A,[7:0],P2_INT1,,,212
,0x212B,[7:0],P2_INT0,,,192
,0x212C,[7:0],P3_INT3,Sets the integration time of raw frame 3,FLOOR(integration_time_us*120)/HMAX) * HMAX,0
,0x212D,[7:0],P3_INT2,,,1
,0x212E,[7:0],P3_INT1,,,212
,0x212F,[7:0],P3_INT0,,,192
,0x2130,[7:0],P4_INT3,Sets the integration time of raw frame 4,FLOOR(integration_time_us*120)/HMAX) * HMAX,0
,0x2131,[7:0],P4_INT2,,,1
,0x2132,[7:0],P4_INT1,,,212
,0x2133,[7:0],P4_INT0,,,192
,0x2134,[7:0],P5_INT3,Sets the integration time of raw frame 5,FLOOR(integration_time_us*120)/HMAX) * HMAX,0
,0x2135,[7:0],P5_INT2,,,1
,0x2136,[7:0],P5_INT1,,,212
,0x2137,[7:0],P5_INT0,,,192
,0x2138,[7:0],P6_INT3,Sets the integration time of raw frame 6,FLOOR(integration_time_us*120)/HMAX) * HMAX,0
,0x2139,[7:0],P6_INT2,,,1
,0x213A,[7:0],P6_INT1,,,212
,0x213B,[7:0],P6_INT0,,,192
,0x213C,[7:0],P7_INT3,Sets the integration time of raw frame 7,FLOOR(integration_time_us*120)/HMAX) * HMAX,0
,0x213D,[7:0],P7_INT2,,,1
,0x213E,[7:0],P7_INT1,,,212
,0x213F,[7:0],P7_INT0,,,192
7.15,0x21B4,[2:0],P0_PHASE_SHIFT,Phase shift of raw frame 0,"0 : 0 degrees, 1: 45 degrees, 2: 90 degrees, 3: 135 degrees, 4: 180 degrees, 5: 225 degrees, 6: 270 degrees, 7: 315 degrees",0
,0x21B4,[6:4],P1_PHASE_SHIFT,Phase shift of raw frame 1,"0 : 0 degrees, 1: 45 degrees, 2: 90 degrees, 3: 135 degrees, 4: 180 degrees, 5: 225 degrees, 6: 270 degrees, 7: 315 degrees",4
,0x21B5,[2:0],P2_PHASE_SHIFT,Phase shift of raw frame 2,"0 : 0 degrees, 1: 45 degrees, 2: 90 degrees, 3: 135 degrees, 4: 180 degrees, 5: 225 degrees, 6: 270 degrees, 7: 315 degrees",2
,0x21B5,[6:4],P3_PHASE_SHIFT,Phase shift of raw frame 3,"0 : 0 degrees, 1: 45 degrees, 2: 90 degrees, 3: 135 degrees, 4: 180 degrees, 5: 225 degrees, 6: 270 degrees, 7: 315 degrees",6
,0x21B6,[2:0],P4_PHASE_SHIFT,Phase shift of raw frame 4,"0 : 0 degrees, 1: 45 degrees, 2: 90 degrees, 3: 135 degrees, 4: 180 degrees, 5: 225 degrees, 6: 270 degrees, 7: 315 degrees",0
,0x21B6,[6:4],P5_PHASE_SHIFT,Phase shift of raw frame 5,"0 : 0 degrees, 1: 45 degrees, 2: 90 degrees, 3: 135 degrees, 4: 180 degrees, 5: 225 degrees, 6: 270 degrees, 7: 315 degrees",0
,0x21B7,[2:0],P6_PHASE_SHIFT,Phase shift of raw frame 6,"0 : 0 degrees, 1: 45 degrees, 2: 90 degrees, 3: 135 degrees, 4: 180 degrees, 5: 225 degrees, 6: 270 degrees, 7: 315 degrees",0
,0x21B7,[6:4],P7_PHASE_SHIFT,Phase shift of raw frame 7,"0 : 0 degrees, 1: 45 degrees, 2: 90 degrees, 3: 135 degrees, 4: 180 degrees, 5: 225 degrees, 6: 270 degrees, 7: 315 degrees",0
,0x4EA0,[0],MODREF,"Selects if the sensor modulation signal is phase shifted, or if the illumination signal is shifted. ","0: Illum phase shifted, 1: Sensor phase shifted",0
7.16,0x21C8,[7:0],P0_PHASE_IDLE,An artificial idle time (wait time or V-blanking) between 2 subsequent phases can be configured. This is raw frame 0 idle time,Phase_idle_us*120/HMAX,5
,0x21C9,[7:0],P1_PHASE_IDLE,Raw frame 1 idle time,Phase_idle_us*120/HMAX,5
